patient,file,start_sec,end_sec,label,model,drive,substeps,metric,noise_intensity,value,status,valid_trials,interpretation
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,snr_mean,0.1,-1.9429506276325779,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,snr_mean,0.1,0.8150251389337888,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,1,coherence_median,0.0,136.47160876900367,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,1,snr_mean,0.0,14.251319268590715,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2,coherence_median,0.0,136.47160876900367,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2,snr_mean,0.0,14.251311191348881,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,coherence_median,2.0,5.119018144178146,boundary_maximum,2.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,snr_mean,0.0,-0.5670379183563145,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,coherence_median,0.5,2.606012132693108,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,snr_mean,0.0,-0.5670378174600146,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,1,coherence_median,2.0,1.624193601881135,boundary_maximum,1.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,10.035410993206469,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,2,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,10.03532802336873,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,1,coherence_median,2.0,1.6222833881546683,boundary_maximum,1.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,1,snr_mean,2.0,-5.789602037954315,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,2,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,2,snr_mean,0.1,-6.128315617917703,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,1,coherence_median,0.5,4.752967965660509,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,1,snr_mean,0.0,8.818120088256101,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,2,coherence_median,0.5,2.1393219897352176,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,2,snr_mean,0.0,8.81809890201549,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,1,coherence_median,0.5,4.752967965660509,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,1,snr_mean,2.0,-10.416881173904796,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,2,coherence_median,0.5,2.1393219897352176,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,2,snr_mean,0.5,-10.396656281765983,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,11.46455637153226,boundary_maximum,3.0,descriptive only; not a resonance claim
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,coherence_median,,,no_valid_measurement,,
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,11.463562777230038,boundary_maximum,3.0,descriptive only; not a resonance claim
